scheme,correctness,completeness,timeliness,consistency,explainability,cost,risk,throughput,defect_rate,availability,latency,maintainability,security,traceability,expert_score
scheme_01,0.7476,0.3175,0.4925,0.4562,0.8155,0.7737,0.9245,0.3609,0.5953,0.3209,0.453,0.6537,0.3186,0.4392,0.7549
scheme_02,0.6815,0.4543,0.7125,0.8666,0.3045,0.8641,0.7887,0.5382,0.4088,0.97,0.5356,0.3649,0.3677,0.8932,0.7226
scheme_03,0.865,0.8108,0.6754,0.9812,0.565,0.6864,0.8806,0.733,0.9032,0.7041,0.7932,0.3321,0.4595,0.5026,0.3559
scheme_04,0.463,0.3707,0.4946,0.745,0.5554,0.5591,0.4467,0.4869,0.9557,0.7536,0.7264,0.4198,0.8104,0.4144,0.5656
scheme_05,0.9927,0.748,0.6899,0.7792,0.89,0.8432,0.4603,0.3225,0.5208,0.4874,0.4477,0.96,0.9135,0.5203,0.7588
scheme_06,0.5769,0.9402,0.6212,0.4854,0.4726,0.693,0.4839,0.7092,0.9285,0.5796,0.4535,0.9983,0.6567,0.3636,0.333
scheme_07,0.3768,0.7392,0.8545,0.5955,0.3445,0.5671,0.9973,0.6704,0.9798,0.9025,0.308,0.8045,0.7772,0.6759,0.4868
scheme_08,0.7487,0.3781,0.6043,0.6176,0.9677,0.9131,0.4844,0.6504,0.4251,0.9388,0.9094,0.5089,0.7473,0.7263,0.407
scheme_09,0.8338,0.6776,0.845,0.6712,0.3004,0.5269,0.3136,0.9504,0.9151,0.8822,0.5153,0.3405,0.9146,0.9629,0.36
scheme_10,0.6402,0.3484,0.8324,0.8361,0.3899,0.6327,0.6849,0.4855,0.9107,0.5962,0.4483,0.6775,0.811,0.4408,0.5182
scheme_11,0.9966,0.7549,0.6067,0.6623,0.3847,0.4573,0.5367,0.7118,0.4611,0.4542,0.3497,0.7418,0.4603,0.9338,0.9017
scheme_12,0.3496,0.4666,0.7683,0.45,0.3926,0.9549,0.6997,0.6309,0.8492,0.8652,0.4333,0.3679,0.6017,0.5965,0.6269
scheme_13,0.8104,0.7714,0.9889,0.3689,0.5818,0.5375,0.9032,0.4741,0.4331,0.614,0.5953,0.495,0.4749,0.9463,0.6102
scheme_14,0.9029,0.6852,0.3354,0.9995,0.8852,0.9783,0.9485,0.8941,0.4164,0.6399,0.4496,0.5807,0.341,0.5653,0.9897
scheme_15,0.4856,0.8488,0.6185,0.5961,0.9701,0.9968,0.689,0.8029,0.4084,0.5077,0.9781,0.7054,0.6795,0.8236,0.34
scheme_16,0.7089,0.652,0.8969,0.4102,0.9725,0.3561,0.4301,0.7165,0.7726,0.4646,0.3839,0.9232,0.4724,0.7162,0.7336
scheme_17,0.5935,0.7086,0.6659,0.9543,0.443,0.8013,0.4671,0.5771,0.7702,0.51,0.5213,0.8263,0.3508,0.6208,0.9989
scheme_18,0.9973,0.3513,0.4492,0.4856,0.9533,0.9166,0.9155,0.5587,0.4104,0.8836,0.7925,0.7282,0.9911,0.7578,0.3055
scheme_19,0.872,0.5096,0.7644,0.9573,0.394,0.3808,0.3749,0.6873,0.4906,0.7234,0.8023,0.4425,0.744,0.4848,0.642
scheme_20,0.9337,0.8923,0.3646,0.5965,0.4937,0.3025,0.8398,0.746,0.4834,0.8189,0.6862,0.5994,0.3068,0.3527,0.9182
